"country"	"year"	"continent"	"population"	"life_exp"	"gdp_per_cap"	"gini"
"Jamaica"	1800	"americas"	401000	34.2	1170	41.3
"Japan"	1800	"asia"	30300000	36.4	1050	46.8
"Jordan"	1800	"asia"	217000	31.7	976	36.9
"Kazakhstan"	1800	"asia"	2040000	26.2	1140	35.3
"Kenya"	1800	"africa"	2570000	25.5	854	54.1
"Kiribati"	1800	"asia"	17900	24.9	551	37
"Kuwait"	1800	"asia"	81300	26	1100	40
"Kyrgyz Republic"	1800	"asia"	530000	23.9	508	36.9
"Lao"	1800	"asia"	470000	31.9	864	32.6
"Latvia"	1800	"europe"	591000	33	751	45
"Lebanon"	1800	"asia"	332000	29.7	1080	47.5
"Lesotho"	1800	"africa"	276000	32.8	393	56
"Liberia"	1800	"africa"	314000	31.1	797	36.5
"Libya"	1800	"africa"	531000	33.1	1050	40
"Lithuania"	1800	"europe"	779000	28.9	1270	44.6
"Luxembourg"	1800	"europe"	127000	36.9	1450	33.8
"Macedonia, FYR"	1800	"europe"	392000	36.1	690	31.1
"Madagascar"	1800	"africa"	1540000	30.5	573	38.8
"Malawi"	1800	"africa"	737000	30.3	350	44.8
"Malaysia"	1800	"asia"	287000	30.6	997	20
"Maldives"	1800	"asia"	42400	32.6	842	41.3
"Mali"	1800	"africa"	1400000	26.4	603	49.2
"Malta"	1800	"europe"	134000	28.7	781	28
"Mauritania"	1800	"africa"	383000	32	527	40.3
"Mauritius"	1800	"africa"	62900	28.7	940	38.6
"Mexico"	1800	"americas"	6180000	26.9	1380	36.1
"Micronesia, Fed. Sts."	1800	"asia"	16400	26.7	518	42.4
"Moldova"	1800	"europe"	713000	33.1	621	43.4
"Mongolia"	1800	"asia"	619000	31.8	592	32
"Montenegro"	1800	"europe"	127000	35.4	1060	30.2
"Morocco"	1800	"africa"	2500000	33.1	714	55.4
"Mozambique"	1800	"africa"	1980000	30.3	390	52.1
"Myanmar"	1800	"asia"	3510000	30.8	840	26.2
"Namibia"	1800	"africa"	229000	32.4	540	51.4
"Nepal"	1800	"asia"	3880000	32.8	654	25.8
"Netherlands"	1800	"europe"	2250000	39.9	4230	51.9
"New Zealand"	1800	"asia"	100000	34	658	38.2
"Nicaragua"	1800	"americas"	219000	25.4	973	39.4
"Niger"	1800	"africa"	1240000	30.8	446	34.9
"Nigeria"	1800	"africa"	12100000	30.4	851	53.5
"North Korea"	1800	"asia"	4340000	26	578	37
"Norway"	1800	"europe"	869000	37.9	1280	35.1
"Oman"	1800	"asia"	318000	32.3	915	40
"Pakistan"	1800	"asia"	13100000	25.8	1020	24.5
"Palestine"	1800	"asia"	166000	32.1	1220	34
"Panama"	1800	"americas"	78800	32.9	847	40.1
"Papua New Guinea"	1800	"asia"	755000	31.5	546	28.4
"Paraguay"	1800	"americas"	143000	35.5	835	40.8
"Peru"	1800	"americas"	1310000	35.7	1200	53
"Philippines"	1800	"asia"	1890000	30.9	962	28.5
"Poland"	1800	"europe"	9510000	35.9	1210	29.5
"Portugal"	1800	"europe"	3030000	35.6	1680	58.1
"Qatar"	1800	"asia"	14100	30.8	1100	40
"Romania"	1800	"europe"	5460000	35.7	815	40.5
"Russia"	1800	"europe"	31100000	29.6	1430	52.8
"Rwanda"	1800	"africa"	928000	31.8	431	42.5
"Samoa"	1800	"asia"	47300	25.4	1400	42.1
"Sao Tome and Principe"	1800	"africa"	22700	31	850	32.1
"Saudi Arabia"	1800	"asia"	2090000	32.1	846	40
"Senegal"	1800	"africa"	1010000	25.2	497	53.8
"Serbia"	1800	"europe"	2150000	35.5	1360	33.7
"Seychelles"	1800	"africa"	12500	37	792	41.3
"Sierra Leone"	1800	"africa"	794000	25.1	734	41.2
"Singapore"	1800	"asia"	30000	29.1	1020	47
"Slovak Republic"	1800	"europe"	2140000	36.4	1430	27.8
"Slovenia"	1800	"europe"	470000	36.6	1410	21.9
"Solomon Islands"	1800	"asia"	57000	25.1	363	46.1
"Somalia"	1800	"africa"	991000	29.4	694	50.9
"South Africa"	1800	"africa"	1440000	33.5	1480	35.2
"South Korea"	1800	"asia"	9400000	25.8	575	32
"South Sudan"	1800	"africa"	1030000	26.7	507	45
"Spain"	1800	"europe"	11500000	29.5	1520	32.3
"Sri Lanka"	1800	"asia"	1210000	32.6	898	37.2
"St. Lucia"	1800	"americas"	24000	28	874	42.6
"St. Vincent and the Grenadines"	1800	"americas"	25800	26	838	40
"Sudan"	1800	"africa"	3990000	31.4	518	33.9
"Suriname"	1800	"americas"	80700	32.9	1640	45.6
"Swaziland"	1800	"africa"	86000	32.3	490	60.5
"Sweden"	1800	"europe"	2350000	32.2	1410	39.5
"Switzerland"	1800	"europe"	1830000	38	2700	38.6
"Syria"	1800	"asia"	1340000	31.1	1080	46.5
"Tajikistan"	1800	"asia"	467000	24.2	556	36.4
"Tanzania"	1800	"africa"	3020000	32.2	562	27.9
"Thailand"	1800	"asia"	4660000	30.4	931	46.2
"Timor-Leste"	1800	"asia"	137000	28.9	521	35.9
"Togo"	1800	"africa"	446000	31.3	682	43.6
"Tonga"	1800	"asia"	18700	28.2	663	37.7
"Trinidad and Tobago"	1800	"americas"	60000	32.9	1230	45.5
"Tunisia"	1800	"africa"	862000	28.8	715	74.2
"Turkey"	1800	"europe"	9770000	35	1220	54.5
"Turkmenistan"	1800	"asia"	367000	24	943	35
"Uganda"	1800	"africa"	2100000	25.3	464	43.6
"Ukraine"	1800	"europe"	11200000	36.6	763	40.1
"United Arab Emirates"	1800	"asia"	40200	30.7	998	40
"United Kingdom"	1800	"europe"	12300000	38.6	3430	58.9
"United States"	1800	"americas"	6800000	39.4	2130	52
"Uruguay"	1800	"americas"	55000	32.9	1760	54.7
"Uzbekistan"	1800	"asia"	1920000	26.9	502	33.9
"Vanuatu"	1800	"asia"	27800	24.3	585	37.6
"Venezuela"	1800	"americas"	718000	32.2	682	62.8
"Vietnam"	1800	"asia"	6550000	32	861	34.2
"Yemen"	1800	"asia"	2590000	23.4	877	50.1
"Zambia"	1800	"africa"	747000	32.6	663	54.5
"Zimbabwe"	1800	"africa"	1090000	33.7	869	27.5
"Afghanistan"	1801	"asia"	3280000	28.2	603	30.5
"Albania"	1801	"europe"	412000	35.4	667	38.9
"Algeria"	1801	"africa"	2510000	28.8	716	56.2
"Angola"	1801	"africa"	1570000	27	620	57.2
"Antigua and Barbuda"	1801	"americas"	37000	33.5	757	40
"Argentina"	1801	"americas"	534000	33.2	1510	47.7
"Armenia"	1801	"europe"	413000	34	514	31.5
"Australia"	1801	"asia"	350000	34	816	38.7
"Austria"	1801	"europe"	3210000	34.4	1850	33.4
"Azerbaijan"	1801	"europe"	880000	29.2	775	70.5
"Bahamas"	1801	"americas"	27400	35.2	1440	40
"Bahrain"	1801	"asia"	64500	30.3	1240	40
"Bangladesh"	1801	"asia"	19300000	25.5	876	28
"Barbados"	1801	"americas"	81700	32.1	914	40
"Belarus"	1801	"europe"	2360000	36.2	608	55.6
"Belgium"	1801	"europe"	3150000	40	2410	41.7
"Belize"	1801	"americas"	25500	26.5	579	60.3
"Benin"	1801	"africa"	637000	31	597	40.7
"Bhutan"	1801	"asia"	90000	28.8	629	40.9
"Bolivia"	1801	"americas"	1100000	33	854	39.2
"Bosnia and Herzegovina"	1801	"europe"	852000	35.1	669	30
"Botswana"	1801	"africa"	121000	33.6	397	47
"Brazil"	1801	"americas"	3680000	32	1110	37.9
"Brunei"	1801	"asia"	2130	29.2	1510	40
"Bulgaria"	1801	"europe"	2000000	35.8	1090	38.9
"Burkina Faso"	1801	"africa"	1670000	29.2	480	38.1
"Burundi"	1801	"africa"	899000	31.5	418	35.1
"Cambodia"	1801	"asia"	2090000	35	904	42
"Cameroon"	1801	"africa"	1860000	28.8	626	41.9
"Canada"	1801	"americas"	653000	39	1320	44.8
"Cape Verde"	1801	"africa"	55700	33.8	529	52.5
"Central African Republic"	1801	"africa"	479000	30	424	57.6
"Chad"	1801	"africa"	1430000	30.9	418	28.2
"Chile"	1801	"americas"	771000	32	1030	48.4
"China"	1801	"asia"	324000000	32	984	37.1
"Colombia"	1801	"americas"	1210000	32	962	59.1
"Comoros"	1801	"africa"	56300	32.1	697	34.1
"Congo, Dem. Rep."	1801	"africa"	5160000	31.6	487	40.4
"Congo, Rep."	1801	"africa"	314000	32.7	576	56.4
"Costa Rica"	1801	"americas"	53000	30.2	775	42.1
"Cote d Ivoire"	1801	"africa"	1090000	31.2	816	40.3
"Croatia"	1801	"europe"	1230000	36.1	1090	16.3
"Cuba"	1801	"americas"	355000	32.3	874	40
"Cyprus"	1801	"europe"	184000	38.5	854	30.1
"Czech Republic"	1801	"europe"	5520000	35	1920	22.8
"Denmark"	1801	"europe"	1070000	38.5	2020	37.2
"Djibouti"	1801	"africa"	22800	29.9	754	36.5
"Dominican Republic"	1801	"americas"	89000	29.9	667	39.9
"Ecuador"	1801	"americas"	500000	32.9	529	41.9
"Egypt"	1801	"africa"	4240000	33	791	34
"El Salvador"	1801	"americas"	248000	28.7	975	41.2
"Equatorial Guinea"	1801	"africa"	80400	29.8	356	40
"Eritrea"	1801	"africa"	205000	30.2	532	40
"Estonia"	1801	"europe"	334000	35.7	939	47.8
"Ethiopia"	1801	"africa"	2950000	29.7	523	47.7
"Fiji"	1801	"asia"	131000	26.1	785	35.3
"Finland"	1801	"europe"	986000	40.3	1240	47.1
"France"	1801	"europe"	29400000	36.4	1800	73.3
"Gabon"	1801	"africa"	158000	30.6	390	46.3
"Gambia"	1801	"africa"	103000	28.8	813	39.6
"Georgia"	1801	"europe"	1070000	31.9	543	26.9
"Germany"	1801	"europe"	23000000	38.4	1650	50.8
"Ghana"	1801	"africa"	2020000	28	696	47
"Greece"	1801	"europe"	2160000	36.6	1370	51.6
"Grenada"	1801	"americas"	29400	31.4	959	40
"Guatemala"	1801	"americas"	465000	25.8	857	37.4
"Guinea"	1801	"africa"	984000	29.5	450	34.4
"Guinea-Bissau"	1801	"africa"	218000	32	777	49.5
"Guyana"	1801	"americas"	166000	31.1	1210	39.5
"Haiti"	1801	"americas"	723000	29	633	47.5
"Honduras"	1801	"americas"	130000	33.9	675	58.5
"Hungary"	1801	"europe"	3530000	36	1250	36.2
"Iceland"	1801	"europe"	61400	33.9	926	25.8
"India"	1801	"asia"	169000000	25.4	1050	32.1
"Indonesia"	1801	"asia"	16200000	30	994	40.8
"Iran"	1801	"asia"	6280000	25.6	977	59.2
"Iraq"	1801	"asia"	1080000	31.2	969	41.9
"Ireland"	1801	"europe"	4110000	38.3	1450	38.6
"Israel"	1801	"asia"	210000	32	880	34.7
"Italy"	1801	"europe"	18900000	29.7	2200	56.1
"Jamaica"	1801	"americas"	401000	34.2	1170	41.3
"Japan"	1801	"asia"	30300000	36.4	1050	46.8
"Jordan"	1801	"asia"	217000	31.7	976	36.9
"Kazakhstan"	1801	"asia"	2040000	26.2	1140	35.3
"Kenya"	1801	"africa"	2570000	25.5	856	54.1
"Kiribati"	1801	"asia"	17900	24.9	551	37
"Kuwait"	1801	"asia"	81300	26	1100	40
"Kyrgyz Republic"	1801	"asia"	530000	23.9	508	36.9
"Lao"	1801	"asia"	470000	31.9	865	32.6
"Latvia"	1801	"europe"	591000	33	752	45
"Lebanon"	1801	"asia"	332000	29.7	1080	47.5
"Lesotho"	1801	"africa"	276000	32.8	393	56
"Liberia"	1801	"africa"	314000	31.1	797	36.5
"Libya"	1801	"africa"	532000	33.1	1050	40
"Lithuania"	1801	"europe"	779000	28.9	1270	44.6
"Luxembourg"	1801	"europe"	127000	36.9	1450	33.8
"Macedonia, FYR"	1801	"europe"	392000	36.1	690	31.1
"Madagascar"	1801	"africa"	1550000	30.5	573	38.8
"Malawi"	1801	"africa"	737000	30.3	350	44.8
"Malaysia"	1801	"asia"	287000	30.6	997	20
"Maldives"	1801	"asia"	42400	32.6	843	41.3
"Mali"	1801	"africa"	1400000	26.4	603	49.2
"Malta"	1801	"europe"	134000	28.7	782	28
"Mauritania"	1801	"africa"	383000	32	528	40.3
"Mauritius"	1801	"africa"	64200	28.7	940	38.6
"Mexico"	1801	"americas"	6200000	26.9	1380	36.1
"Micronesia, Fed. Sts."	1801	"asia"	16400	26.7	518	42.4
"Moldova"	1801	"europe"	713000	33.1	621	43.4
"Mongolia"	1801	"asia"	619000	31.8	592	32
"Montenegro"	1801	"europe"	127000	35.4	1060	30.2
"Morocco"	1801	"africa"	2510000	33.1	714	55.4
"Mozambique"	1801	"africa"	1990000	30.3	391	52.1
"Myanmar"	1801	"asia"	3510000	30.8	840	26.2
"Namibia"	1801	"africa"	229000	32.4	540	51.4
"Nepal"	1801	"asia"	3880000	32.8	654	25.8
"Netherlands"	1801	"europe"	2260000	39.9	4160	51.9
"New Zealand"	1801	"asia"	100000	34	658	38.2
"Nicaragua"	1801	"americas"	219000	25.4	973	39.4
"Niger"	1801	"africa"	1240000	30.8	446	34.9
"Nigeria"	1801	"africa"	12100000	30.4	853	53.5
"North Korea"	1801	"asia"	4340000	26	578	37
"Norway"	1801	"europe"	873000	35.8	1280	35.1
"Oman"	1801	"asia"	318000	32.3	916	40
"Pakistan"	1801	"asia"	13100000	25.8	1020	24.5
"Palestine"	1801	"asia"	166000	32.1	1220	34
"Panama"	1801	"americas"	78800	32.9	847	40.1
"Papua New Guinea"	1801	"asia"	755000	31.5	546	28.4
"Paraguay"	1801	"americas"	143000	35.5	835	40.8
"Peru"	1801	"americas"	1310000	35.7	1200	53
"Philippines"	1801	"asia"	1890000	30.9	962	28.5
"Poland"	1801	"europe"	9550000	35.9	1220	29.5
"Portugal"	1801	"europe"	3050000	35.6	1680	58.1
"Qatar"	1801	"asia"	14100	30.8	1100	40
"Romania"	1801	"europe"	5510000	35.7	815	40.5
"Russia"	1801	"europe"	31100000	29.6	1430	52.8
"Rwanda"	1801	"africa"	928000	25	432	42.5
"Samoa"	1801	"asia"	47300	25.4	1400	42.1
"Sao Tome and Principe"	1801	"africa"	22700	31	852	32.1
"Saudi Arabia"	1801	"asia"	2090000	32.1	846	40
"Senegal"	1801	"africa"	1010000	25.2	497	53.8
"Serbia"	1801	"europe"	2150000	35.5	1360	33.7
"Seychelles"	1801	"africa"	12500	37	795	41.3
"Sierra Leone"	1801	"africa"	794000	25.1	734	41.2
"Singapore"	1801	"asia"	30000	29.1	1020	47
"Slovak Republic"	1801	"europe"	2140000	36.4	1430	27.8
"Slovenia"	1801	"europe"	470000	36.6	1410	21.9
"Solomon Islands"	1801	"asia"	57000	25.1	363	46.1
"Somalia"	1801	"africa"	992000	29.4	694	50.9
"South Africa"	1801	"africa"	1450000	33.5	1480	35.2
"South Korea"	1801	"asia"	9400000	25.8	575	32
"South Sudan"	1801	"africa"	1030000	26.7	507	45
"Spain"	1801	"europe"	11600000	29.5	1520	32.3
"Sri Lanka"	1801	"asia"	1210000	32.6	898	37.2
"St. Lucia"	1801	"americas"	24000	28	875	42.6
"St. Vincent and the Grenadines"	1801	"americas"	25800	26	838	40
"Sudan"	1801	"africa"	4000000	31.4	518	33.9
"Suriname"	1801	"americas"	80700	32.9	1640	45.6
"Swaziland"	1801	"africa"	86000	32.3	490	60.5
"Sweden"	1801	"europe"	2350000	36.9	1400	39.5
"Switzerland"	1801	"europe"	1830000	38	2700	38.6
"Syria"	1801	"asia"	1340000	31.1	1080	46.5
"Tajikistan"	1801	"asia"	467000	24.2	557	36.4
"Tanzania"	1801	"africa"	3020000	32.2	562	27.9
"Thailand"	1801	"asia"	4660000	30.4	931	46.2
"Timor-Leste"	1801	"asia"	137000	28.9	522	35.9
"Togo"	1801	"africa"	446000	31.3	683	43.6
"Tonga"	1801	"asia"	18700	28.2	663	37.7
"Trinidad and Tobago"	1801	"americas"	60000	32.9	1230	45.5
"Tunisia"	1801	"africa"	863000	28.8	715	74.2
"Turkey"	1801	"europe"	9790000	35	1220	54.5
"Turkmenistan"	1801	"asia"	367000	24	944	35
"Uganda"	1801	"africa"	2100000	25.3	464	43.6
"Ukraine"	1801	"europe"	11200000	36.6	764	40.1
"United Arab Emirates"	1801	"asia"	40200	30.7	1000	40
"United Kingdom"	1801	"europe"	12500000	37.4	3440	58.9
"United States"	1801	"americas"	6930000	39.4	2170	52
"Uruguay"	1801	"americas"	55000	32.9	1760	54.7
"Uzbekistan"	1801	"asia"	1920000	26.9	502	33.9
"Vanuatu"	1801	"asia"	27800	24.3	586	37.6
"Venezuela"	1801	"americas"	718000	32.2	682	62.8
"Vietnam"	1801	"asia"	6550000	32	861	34.2
"Yemen"	1801	"asia"	2590000	23.4	879	50.1
"Zambia"	1801	"africa"	747000	32.6	665	54.5
"Zimbabwe"	1801	"africa"	1090000	33.7	870	27.5
"Afghanistan"	1802	"asia"	3280000	28.2	603	30.5
"Albania"	1802	"europe"	413000	35.4	667	38.9
"Algeria"	1802	"africa"	2520000	28.8	717	56.2
"Angola"	1802	"africa"	1570000	27	623	57.2
"Antigua and Barbuda"	1802	"americas"	37000	33.5	757	40
"Argentina"	1802	"americas"	534000	33.2	1510	47.7
"Armenia"	1802	"europe"	413000	34	514	31.5
"Australia"	1802	"asia"	349000	34	818	38.7
"Austria"	1802	"europe"	3220000	34.4	1860	33.4
"Azerbaijan"	1802	"europe"	880000	29.2	775	70.5
"Bahamas"	1802	"americas"	27400	35.2	1440	40
"Bahrain"	1802	"asia"	64500	30.3	1250	40
"Bangladesh"	1802	"asia"	19300000	25.5	876	28
"Barbados"	1802	"americas"	81700	32.1	914	40
"Belarus"	1802	"europe"	2360000	36.2	608	55.6
"Belgium"	1802	"europe"	3170000	40	2410	41.7
"Belize"	1802	"americas"	25500	26.5	579	60.3
"Benin"	1802	"africa"	637000	31	597	40.7
"Bhutan"	1802	"asia"	90000	28.8	630	40.9
"Bolivia"	1802	"americas"	1100000	33	854	39.2
"Bosnia and Herzegovina"	1802	"europe"	852000	35.1	669	30
"Botswana"	1802	"africa"	121000	33.6	397	47
"Brazil"	1802	"americas"	3720000	32	1110	37.9
"Brunei"	1802	"asia"	2130	29.2	1510	40
"Bulgaria"	1802	"europe"	2010000	35.9	1090	38.9
"Burkina Faso"	1802	"africa"	1670000	29.2	480	38.1
"Burundi"	1802	"africa"	899000	31.5	419	35.1
"Cambodia"	1802	"asia"	2090000	35	904	42
"Cameroon"	1802	"africa"	1860000	28.8	626	41.9
"Canada"	1802	"americas"	661000	39	1330	44.8
"Cape Verde"	1802	"africa"	55700	33.8	529	52.5
"Central African Republic"	1802	"africa"	479000	30	424	57.6
"Chad"	1802	"africa"	1430000	30.9	418	28.2
"Chile"	1802	"americas"	771000	32	1030	48.4
"China"	1802	"asia"	327000000	32	984	37.1
"Colombia"	1802	"americas"	1210000	32	962	59.1
"Comoros"	1802	"africa"	56300	32.1	697	34.1
"Congo, Dem. Rep."	1802	"africa"	5160000	31.6	489	40.4
"Congo, Rep."	1802	"africa"	314000	32.7	578	56.4
"Costa Rica"	1802	"americas"	53500	30.2	775	42.1
"Cote d Ivoire"	1802	"africa"	1090000	31.2	819	40.3
"Croatia"	1802	"europe"	1230000	36.1	1100	16.3
"Cuba"	1802	"americas"	366000	32.5	884	40
"Cyprus"	1802	"europe"	184000	38.5	854	30.1
"Czech Republic"	1802	"europe"	5520000	35	1920	22.8
"Denmark"	1802	"europe"	1070000	44.4	2020	37.2
"Djibouti"	1802	"africa"	22800	29.9	757	36.5
"Dominican Republic"	1802	"americas"	89000	29.9	667	39.9
"Ecuador"	1802	"americas"	500000	32.9	529	41.9
"Egypt"	1802	"africa"	4240000	33	791	34
"El Salvador"	1802	"americas"	248000	28.7	975	41.2
"Equatorial Guinea"	1802	"africa"	80400	29.8	357	40
"Eritrea"	1802	"africa"	205000	30.2	532	40
"Estonia"	1802	"europe"	334000	35.3	940	47.8
"Ethiopia"	1802	"africa"	2950000	29.7	523	47.7
"Fiji"	1802	"asia"	131000	26.1	785	35.3
"Finland"	1802	"europe"	995000	39.2	1250	47.1
"France"	1802	"europe"	29500000	34.4	1810	73.3
"Gabon"	1802	"africa"	158000	30.6	390	46.3
"Gambia"	1802	"africa"	103000	28.8	814	39.6
"Georgia"	1802	"europe"	1070000	31.9	543	26.9
"Germany"	1802	"europe"	23100000	38.4	1660	50.8
"Ghana"	1802	"africa"	2020000	28	697	47
"Greece"	1802	"europe"	2170000	36.6	1380	51.6
"Grenada"	1802	"americas"	29400	31.4	959	40
"Guatemala"	1802	"americas"	471000	25.8	857	37.4
"Guinea"	1802	"africa"	984000	29.5	450	34.4
"Guinea-Bissau"	1802	"africa"	218000	32	777	49.5
"Guyana"	1802	"americas"	166000	31.1	1210	39.5
"Haiti"	1802	"americas"	723000	29	634	47.5
"Honduras"	1802	"americas"	130000	33.9	675	58.5
"Hungary"	1802	"europe"	3560000	36	1250	36.2
"Iceland"	1802	"europe"	61400	27.6	927	25.8
"India"	1802	"asia"	169000000	25	1050	32.1
"Indonesia"	1802	"asia"	16200000	30	995	40.8
"Iran"	1802	"asia"	6300000	25.6	977	59.2
"Iraq"	1802	"asia"	1080000	31.2	970	41.9
"Ireland"	1802	"europe"	4150000	38.3	1450	38.6
"Israel"	1802	"asia"	210000	32	880	34.7
"Italy"	1802	"europe"	19000000	29.7	2270	56.1
"Jamaica"	1802	"americas"	401000	34.2	1170	41.3
"Japan"	1802	"asia"	30400000	36.4	1050	46.8
"Jordan"	1802	"asia"	217000	31.7	976	36.9
"Kazakhstan"	1802	"asia"	2040000	26.2	1140	35.3
"Kenya"	1802	"africa"	2570000	25.5	859	54.1
"Kiribati"	1802	"asia"	17900	24.9	552	37
"Kuwait"	1802	"asia"	81300	26	1100	40
"Kyrgyz Republic"	1802	"asia"	530000	23.9	508	36.9
"Lao"	1802	"asia"	470000	31.9	865	32.6
"Latvia"	1802	"europe"	591000	33	753	45
"Lebanon"	1802	"asia"	332000	29.7	1080	47.5
"Lesotho"	1802	"africa"	276000	32.8	394	56
"Liberia"	1802	"africa"	314000	31.1	797	36.5
"Libya"	1802	"africa"	532000	33.1	1050	40
"Lithuania"	1802	"europe"	779000	28.9	1270	44.6
"Luxembourg"	1802	"europe"	127000	36.9	1450	33.8
"Macedonia, FYR"	1802	"europe"	392000	36.1	690	31.1
"Madagascar"	1802	"africa"	1560000	30.5	573	38.8
"Malawi"	1802	"africa"	737000	30.3	350	44.8
"Malaysia"	1802	"asia"	287000	30.6	997	20
"Maldives"	1802	"asia"	42400	32.6	843	41.3
"Mali"	1802	"africa"	1400000	26.4	603	49.2
"Malta"	1802	"europe"	134000	28.7	782	28
"Mauritania"	1802	"africa"	383000	32	528	40.3
"Mauritius"	1802	"africa"	65600	28.7	940	38.6
"Mexico"	1802	"americas"	6220000	26.9	1380	36.1
"Micronesia, Fed. Sts."	1802	"asia"	16400	26.7	518	42.4
"Moldova"	1802	"europe"	713000	33.1	621	43.4
"Mongolia"	1802	"asia"	619000	31.8	592	32
"Montenegro"	1802	"europe"	127000	35.4	1060	30.2
"Morocco"	1802	"africa"	2520000	33.1	715	55.4
"Mozambique"	1802	"africa"	1990000	30.3	391	52.1
"Myanmar"	1802	"asia"	3510000	30.8	840	26.2
"Namibia"	1802	"africa"	229000	32.4	540	51.4
"Nepal"	1802	"asia"	3880000	32.8	654	25.8
